community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	arect.fa	ecoli.fa	M_ala__L_e	1.0	0.01	1	0.01
all	minimal	arect.fa	ecoli.fa	M_arg__L_e	1.0	0.03	1	0.03
all	minimal	arect.fa	ecoli.fa	M_asp__L_e	1.0	0.36	1	0.36
all	minimal	arect.fa	ecoli.fa	M_cgly_e	1.0	0.01	1	0.01
all	minimal	arect.fa	ecoli.fa	M_cys__L_e	1.0	0.09	1	0.09
all	minimal	arect.fa	ecoli.fa	M_fe3_e	1.0	0.9	1	0.9
all	minimal	arect.fa	ecoli.fa	M_fe3pyovd_kt_e	1.0	0.1	1	0.1
all	minimal	arect.fa	ecoli.fa	M_g3pg_e	1.0	0.65	1	0.65
all	minimal	arect.fa	ecoli.fa	M_glc__D_e	1.0	0.99	1	0.99
all	minimal	arect.fa	ecoli.fa	M_glu__L_e	1.0	0.02	1	0.02
all	minimal	arect.fa	ecoli.fa	M_glyc3p_e	1.0	0.3	1	0.3
all	minimal	arect.fa	ecoli.fa	M_gua_e	1.0	0.02	1	0.02
all	minimal	arect.fa	ecoli.fa	M_h2s_e	1.0	0.02	1	0.02
all	minimal	arect.fa	ecoli.fa	M_h_e	1.0	0.03	1	0.03
all	minimal	arect.fa	ecoli.fa	M_ile__L_e	1.0	0.01	1	0.01
all	minimal	arect.fa	ecoli.fa	M_lys__L_e	1.0	0.04	1	0.04
all	minimal	arect.fa	ecoli.fa	M_nh4_e	1.0	0.06	1	0.06
all	minimal	arect.fa	ecoli.fa	M_orn_e	1.0	0.02	1	0.02
all	minimal	arect.fa	ecoli.fa	M_pi_e	1.0	0.05	1	0.05
all	minimal	arect.fa	ecoli.fa	M_thr__L_e	1.0	0.07	1	0.07
all	minimal	arect.fa	ecoli.fa	M_tyr__L_e	1.0	0.02	1	0.02
all	minimal	arect.fa	ecoli.fa	M_ura_e	1.0	0.02	1	0.02
all	minimal	btheta.fa	ecoli.fa	M_ala__D_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_ala__L_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_arg__L_e	1.0	0.02	1	0.02
all	minimal	btheta.fa	ecoli.fa	M_asp__L_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_cgly_e	1.0	0.19	1	0.19
all	minimal	btheta.fa	ecoli.fa	M_cys__L_e	1.0	0.03	1	0.03
all	minimal	btheta.fa	ecoli.fa	M_fe3_e	1.0	0.6	1	0.6
all	minimal	btheta.fa	ecoli.fa	M_fe3pyovd_kt_e	1.0	0.4	1	0.4
all	minimal	btheta.fa	ecoli.fa	M_fum_e	1.0	0.03	1	0.03
all	minimal	btheta.fa	ecoli.fa	M_glc__D_e	1.0	0.03	1	0.03
all	minimal	btheta.fa	ecoli.fa	M_glu__L_e	1.0	0.02	1	0.02
all	minimal	btheta.fa	ecoli.fa	M_gly_e	1.0	0.02	1	0.02
all	minimal	btheta.fa	ecoli.fa	M_glyc3p_e	1.0	0.99	1	0.99
all	minimal	btheta.fa	ecoli.fa	M_gsn_e	1.0	0.02	1	0.02
all	minimal	btheta.fa	ecoli.fa	M_h_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_ile__L_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_leu__L_e	1.0	0.02	1	0.02
all	minimal	btheta.fa	ecoli.fa	M_mal__L_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_met__L_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_nh4_e	1.0	0.02	1	0.02
all	minimal	btheta.fa	ecoli.fa	M_pi_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_pyovd_kt_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_rib__D_e	1.0	0.02	1	0.02
all	minimal	btheta.fa	ecoli.fa	M_ser__L_e	1.0	0.01	1	0.01
all	minimal	btheta.fa	ecoli.fa	M_tyr__L_e	1.0	1.0	1	1.0
all	minimal	btheta.fa	ecoli.fa	M_val__L_e	1.0	0.01	1	0.01
