#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
RMDv1_0000000000	365046.Rta_22840	6.17e-286	993.0	COG2982@1|root,COG3210@1|root,COG5295@1|root,COG2982@2|Bacteria,COG3210@2|Bacteria,COG5295@2|Bacteria,1QUXB@1224|Proteobacteria	1224|Proteobacteria	U	6-phosphogluconolactonase activity	-	-	-	-	-	-	-	-	-	-	-	-	Autotransporter,Cadherin_3,DUF11,DUF4347,He_PIG,PATR
RMDv1_0000000001	400682.PAC_15710479	3.74e-62	250.0	29RY4@1|root,2RXCD@2759|Eukaryota	2759|Eukaryota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	REJ,Tetraspannin
RMDv1_0000000002	400682.PAC_15720836	0.0	5660.0	2CAHM@1|root,2S38J@2759|Eukaryota,3AGB1@33154|Opisthokonta	33154|Opisthokonta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000003	400682.PAC_15720836	0.0	5128.0	2CAHM@1|root,2S38J@2759|Eukaryota,3AGB1@33154|Opisthokonta	33154|Opisthokonta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000004	1278073.MYSTI_02092	0.0	8330.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2WN7A@28221|Deltaproteobacteria,2YTZA@29|Myxococcales	28221|Deltaproteobacteria	Q	non-ribosomal peptide synthetase	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase
RMDv1_0000000005	485918.Cpin_5094	8.57e-54	222.0	COG1472@1|root,COG3391@1|root,COG4932@1|root,COG1472@2|Bacteria,COG3391@2|Bacteria,COG4932@2|Bacteria,4PN87@976|Bacteroidetes	976|Bacteroidetes	M	Calx-beta domain	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11
RMDv1_0000000006	685035.ADAE01000024_gene1780	3.02e-53	220.0	COG0145@1|root,COG3468@1|root,COG3897@1|root,COG5184@1|root,COG0145@2|Bacteria,COG3468@2|Bacteria,COG3897@2|Bacteria,COG5184@2|Bacteria,1QUZ3@1224|Proteobacteria	1224|Proteobacteria	MU	heme binding	-	-	-	-	-	-	-	-	-	-	-	-	Autotransporter,TIG
RMDv1_0000000007	1500893.JQNB01000001_gene2575	0.0	3634.0	COG1020@1|root,COG3321@1|root,COG1020@2|Bacteria,COG3321@2|Bacteria,1QK4F@1224|Proteobacteria,1RPAG@1236|Gammaproteobacteria,1X3AB@135614|Xanthomonadales	135614|Xanthomonadales	Q	non-ribosomal peptide synthetase	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,Thioesterase,ketoacyl-synt
RMDv1_0000000008	68570.DC74_7926	0.0	3594.0	COG0604@1|root,COG3321@1|root,COG0604@2|Bacteria,COG3321@2|Bacteria,2H477@201174|Actinobacteria	201174|Actinobacteria	Q	polyketide synthase	-	-	-	ko:K16384,ko:K19203,ko:K20787	ko01052,map01052	-	-	-	ko00000,ko00001	-	-	-	ADH_zinc_N_2,Acyl_transf_1,Docking,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000000009	469383.Cwoe_5164	0.000838	56.6	2DP3A@1|root,330CA@2|Bacteria,2GPHQ@201174|Actinobacteria,4CTAM@84995|Rubrobacteria	84995|Rubrobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000010	1246995.AFR_22960	1.27e-51	215.0	COG4733@1|root,COG4733@2|Bacteria,2H7QD@201174|Actinobacteria,4DJZF@85008|Micromonosporales	201174|Actinobacteria	NU	Fibronectin type III domain	-	-	2.7.11.1	ko:K12567	ko05410,ko05414,map05410,map05414	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04147,ko04812	-	-	-	fn3
RMDv1_0000000011	203122.Sde_2049	0.0	10346.0	COG5184@1|root,COG5276@1|root,COG5644@1|root,COG5184@2|Bacteria,COG5276@2|Bacteria,COG5644@2|Bacteria,1QX03@1224|Proteobacteria,1T31Q@1236|Gammaproteobacteria	1236|Gammaproteobacteria	DZ	regulator of chromosome condensation, RCC1	-	-	-	-	-	-	-	-	-	-	-	-	RCC1_2
RMDv1_0000000012	400682.PAC_15726475	0.0	11711.0	KOG3610@1|root,KOG3610@2759|Eukaryota,39QB7@33154|Opisthokonta	33154|Opisthokonta	T	ig-like, plexins, transcription factors	-	-	-	-	-	-	-	-	-	-	-	-	TIG
RMDv1_0000000013	1343740.M271_40485	0.0	3113.0	COG3321@1|root,COG3321@2|Bacteria,2H477@201174|Actinobacteria	201174|Actinobacteria	Q	polyketide synthase	-	-	-	ko:K12436	-	-	-	-	ko00000,ko01004	-	-	-	ADH_N,ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000000014	1144275.COCOR_02357	0.0	3630.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2WN7A@28221|Deltaproteobacteria,2YTZA@29|Myxococcales	28221|Deltaproteobacteria	Q	non-ribosomal peptide synthetase	-	-	-	ko:K16416	ko01052,map01052	-	-	-	ko00000,ko00001,ko01008	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase
RMDv1_0000000015	335992.SAR11_0932	8.45e-161	577.0	COG0726@1|root,COG2931@1|root,COG3209@1|root,COG3210@1|root,COG3391@1|root,COG0726@2|Bacteria,COG2931@2|Bacteria,COG3209@2|Bacteria,COG3210@2|Bacteria,COG3391@2|Bacteria,1MU7T@1224|Proteobacteria,2TRVY@28211|Alphaproteobacteria	28211|Alphaproteobacteria	Q	COG2931 RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000018	498211.CJA_1396	1.42e-11	82.4	COG4254@1|root,COG4932@1|root,COG4254@2|Bacteria,COG4932@2|Bacteria,1QUEG@1224|Proteobacteria,1T4AQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane	-	-	-	-	-	-	-	-	-	-	-	-	Calx-beta
RMDv1_0000000019	1454007.JAUG01000098_gene1475	1.21e-33	155.0	COG1361@1|root,COG2374@1|root,COG3121@1|root,COG3209@1|root,COG1361@2|Bacteria,COG2374@2|Bacteria,COG3121@2|Bacteria,COG3209@2|Bacteria,4NG16@976|Bacteroidetes,1ITFW@117747|Sphingobacteriia	976|Bacteroidetes	M	Domains in Na-Ca exchangers and integrin-beta4	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11
RMDv1_0000000020	1454007.JAUG01000098_gene1475	2.06e-28	138.0	COG1361@1|root,COG2374@1|root,COG3121@1|root,COG3209@1|root,COG1361@2|Bacteria,COG2374@2|Bacteria,COG3121@2|Bacteria,COG3209@2|Bacteria,4NG16@976|Bacteroidetes,1ITFW@117747|Sphingobacteriia	976|Bacteroidetes	M	Domains in Na-Ca exchangers and integrin-beta4	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11
RMDv1_0000000021	1385517.N800_00455	8.32e-09	72.8	COG1404@1|root,COG4447@1|root,COG1404@2|Bacteria,COG4447@2|Bacteria,1MVIT@1224|Proteobacteria	1224|Proteobacteria	MU	K COG5665 CCR4-NOT transcriptional regulation complex, NOT5 subunit	-	-	-	-	-	-	-	-	-	-	-	-	BNR,Sortilin-Vps10
RMDv1_0000000022	313590.MED134_10485	1.11e-69	275.0	COG1361@1|root,COG2304@1|root,COG2373@1|root,COG3210@1|root,COG4932@1|root,COG5184@1|root,COG1361@2|Bacteria,COG2304@2|Bacteria,COG2373@2|Bacteria,COG3210@2|Bacteria,COG4932@2|Bacteria,COG5184@2|Bacteria,4NG16@976|Bacteroidetes,1HY10@117743|Flavobacteriia	976|Bacteroidetes	M	C-terminal domain of CHU protein family	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11,SdrD_B
RMDv1_0000000023	1385517.N800_00455	1.42e-08	72.0	COG1404@1|root,COG4447@1|root,COG1404@2|Bacteria,COG4447@2|Bacteria,1MVIT@1224|Proteobacteria	1224|Proteobacteria	MU	K COG5665 CCR4-NOT transcriptional regulation complex, NOT5 subunit	-	-	-	-	-	-	-	-	-	-	-	-	BNR,Sortilin-Vps10
RMDv1_0000000024	1469245.JFBG01000063_gene2353	1.09e-147	532.0	COG1404@1|root,COG2133@1|root,COG3210@1|root,COG1404@2|Bacteria,COG2133@2|Bacteria,COG3210@2|Bacteria,1RCVP@1224|Proteobacteria	1224|Proteobacteria	O	pyrroloquinoline quinone binding	-	-	-	-	-	-	-	-	-	-	-	-	Calx-beta
RMDv1_0000000025	1192759.AKIB01000028_gene2028	0.0	8994.0	COG1572@1|root,COG1864@1|root,COG2931@1|root,COG3209@1|root,COG3210@1|root,COG3386@1|root,COG3391@1|root,COG5276@1|root,COG1572@2|Bacteria,COG1864@2|Bacteria,COG2931@2|Bacteria,COG3209@2|Bacteria,COG3210@2|Bacteria,COG3386@2|Bacteria,COG3391@2|Bacteria,COG5276@2|Bacteria,1MU7T@1224|Proteobacteria,2UHRC@28211|Alphaproteobacteria	28211|Alphaproteobacteria	FGMQ	CARDB	-	-	-	-	-	-	-	-	-	-	-	-	CARDB,He_PIG,Laminin_G_3
RMDv1_0000000026	1192759.AKIB01000028_gene2028	0.0	9003.0	COG1572@1|root,COG1864@1|root,COG2931@1|root,COG3209@1|root,COG3210@1|root,COG3386@1|root,COG3391@1|root,COG5276@1|root,COG1572@2|Bacteria,COG1864@2|Bacteria,COG2931@2|Bacteria,COG3209@2|Bacteria,COG3210@2|Bacteria,COG3386@2|Bacteria,COG3391@2|Bacteria,COG5276@2|Bacteria,1MU7T@1224|Proteobacteria,2UHRC@28211|Alphaproteobacteria	28211|Alphaproteobacteria	FGMQ	CARDB	-	-	-	-	-	-	-	-	-	-	-	-	CARDB,He_PIG,Laminin_G_3
RMDv1_0000000027	694427.Palpr_2962	0.000626	57.0	COG2911@1|root,COG2911@2|Bacteria,4PNU0@976|Bacteroidetes,2G0YK@200643|Bacteroidia,2315R@171551|Porphyromonadaceae	976|Bacteroidetes	S	Protein conserved in bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000028	1454007.JAUG01000098_gene1475	2.32e-26	131.0	COG1361@1|root,COG2374@1|root,COG3121@1|root,COG3209@1|root,COG1361@2|Bacteria,COG2374@2|Bacteria,COG3121@2|Bacteria,COG3209@2|Bacteria,4NG16@976|Bacteroidetes,1ITFW@117747|Sphingobacteriia	976|Bacteroidetes	M	Domains in Na-Ca exchangers and integrin-beta4	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11
